neurons,batch_size,learning_rate,activation,score
50,4,1e-05,linear,24297.248046875
50,4,1e-05,relu,0.007707531098276377
50,4,1e-05,tanh,0.008097304962575436
50,4,0.0001,linear,3786805.5
50,4,0.0001,relu,0.0029451590962707996
50,4,0.0001,tanh,0.001714586396701634
50,4,0.001,linear,1.8199578257832018e+19
50,4,0.001,relu,0.000679047720041126
50,4,0.001,tanh,0.00024176447186619043
50,8,1e-05,linear,1.370503544807434
50,8,1e-05,relu,0.013002714142203331
50,8,1e-05,tanh,0.009249856695532799
50,8,0.0001,linear,2282.975341796875
50,8,0.0001,relu,0.0031790633220225573
50,8,0.0001,tanh,0.002666964428499341
50,8,0.001,linear,7.278723655301944e+26
50,8,0.001,relu,0.0011888210428878665
50,8,0.001,tanh,0.0004860416811425239
50,16,1e-05,linear,4565.4775390625
50,16,1e-05,relu,0.02281985431909561
50,16,1e-05,tanh,0.016387229785323143
50,16,0.0001,linear,11470.513671875
50,16,0.0001,relu,0.00530626205727458
50,16,0.0001,tanh,0.00407274067401886
50,16,0.001,linear,10.73955249786377
50,16,0.001,relu,0.00247326772660017
50,16,0.001,tanh,0.0009151020203717053
50,32,1e-05,linear,0.6958909630775452
50,32,1e-05,relu,0.028470885008573532
50,32,1e-05,tanh,0.017424512654542923
50,32,0.0001,linear,83.66654205322266
50,32,0.0001,relu,0.007442333735525608
50,32,0.0001,tanh,0.004406679421663284
50,32,0.001,linear,69060591616.0
50,32,0.001,relu,0.002943378873169422
50,32,0.001,tanh,0.0017882311949506402
50,64,1e-05,linear,0.2840454876422882
50,64,1e-05,relu,0.05985724925994873
50,64,1e-05,tanh,0.02674984559416771
50,64,0.0001,linear,1.0275776386260986
50,64,0.0001,relu,0.009519197978079319
50,64,0.0001,tanh,0.011835457757115364
50,64,0.001,linear,277402144.0
50,64,0.001,relu,0.003978310152888298
50,64,0.001,tanh,0.0030089127831161022
50,128,1e-05,linear,0.7619516253471375
50,128,1e-05,relu,0.09183447062969208
50,128,1e-05,tanh,0.049518387764692307
50,128,0.0001,linear,1.1287591457366943
50,128,0.0001,relu,0.013236861675977707
50,128,0.0001,tanh,0.013483766466379166
50,128,0.001,linear,49.891387939453125
50,128,0.001,relu,0.0051783667877316475
50,128,0.001,tanh,0.003310821019113064
50,256,1e-05,linear,0.41657671332359314
50,256,1e-05,relu,0.05533411726355553
