neurons,batch_size,learning_rate,activation,score
50,4,1e-05,linear,0.007250669877976179
50,4,1e-05,relu,0.1762021780014038
50,4,1e-05,tanh,0.3460489809513092
50,4,0.0001,linear,0.04237905517220497
50,4,0.0001,relu,0.03487040102481842
50,4,0.0001,tanh,0.02364744432270527
50,4,0.001,linear,0.00034915056312456727
50,4,0.001,relu,0.013580194674432278
50,4,0.001,tanh,0.008985371328890324
50,8,1e-05,linear,0.17903493344783783
50,8,1e-05,relu,0.24384206533432007
50,8,1e-05,tanh,0.2704728841781616
50,8,0.0001,linear,0.04555689916014671
50,8,0.0001,relu,0.11152923107147217
50,8,0.0001,tanh,0.041719209402799606
50,8,0.001,linear,0.012554631568491459
50,8,0.001,relu,0.016196858137845993
50,8,0.001,tanh,0.011641877703368664
50,16,1e-05,linear,0.7391091585159302
50,16,1e-05,relu,0.13751636445522308
50,16,1e-05,tanh,0.2020115852355957
50,16,0.0001,linear,0.1724388301372528
50,16,0.0001,relu,0.27748334407806396
50,16,0.0001,tanh,0.08713042736053467
50,16,0.001,linear,0.01581208035349846
50,16,0.001,relu,0.016872644424438477
50,16,0.001,tanh,0.017438432201743126
50,32,1e-05,linear,0.3314715027809143
50,32,1e-05,relu,0.24157866835594177
50,32,1e-05,tanh,0.4147065579891205
50,32,0.0001,linear,0.21233373880386353
50,32,0.0001,relu,0.1288508027791977
50,32,0.0001,tanh,0.3460482060909271
50,32,0.001,linear,0.022954093292355537
50,32,0.001,relu,0.022000348195433617
50,32,0.001,tanh,0.02037186175584793
50,64,1e-05,linear,0.32412853837013245
50,64,1e-05,relu,0.1699775755405426
50,64,1e-05,tanh,0.3855229318141937
50,64,0.0001,linear,0.2618721127510071
50,64,0.0001,relu,0.19330362975597382
50,64,0.0001,tanh,0.3257743716239929
50,64,0.001,linear,0.088967464864254
50,64,0.001,relu,0.07293611764907837
50,64,0.001,tanh,0.024064606055617332
50,128,1e-05,linear,0.6032654047012329
50,128,1e-05,relu,0.3074882924556732
50,128,1e-05,tanh,0.48093900084495544
50,128,0.0001,linear,0.47645387053489685
50,128,0.0001,relu,0.3392460346221924
50,128,0.0001,tanh,0.39610370993614197
50,128,0.001,linear,0.11550506204366684
50,128,0.001,relu,0.12212638556957245
50,128,0.001,tanh,0.17261415719985962
50,256,1e-05,linear,0.34910333156585693
50,256,1e-05,relu,0.39674046635627747
