neurons,batch_size,learning_rate,activation,score
50,4,1e-05,linear,0.004133538343012333
50,4,1e-05,relu,0.13278304040431976
50,4,1e-05,tanh,0.1948215216398239
50,4,0.0001,linear,0.02502748928964138
50,4,0.0001,relu,0.03096091002225876
50,4,0.0001,tanh,0.028006184846162796
50,4,0.001,linear,0.00037905501085333526
50,4,0.001,relu,0.01114328857511282
50,4,0.001,tanh,0.010269573889672756
50,8,1e-05,linear,0.2289162278175354
50,8,1e-05,relu,0.18008321523666382
50,8,1e-05,tanh,0.14109408855438232
50,8,0.0001,linear,0.03036852367222309
50,8,0.0001,relu,0.08974206447601318
50,8,0.0001,tanh,0.03933219984173775
50,8,0.001,linear,0.014651685953140259
50,8,0.001,relu,0.015016711317002773
50,8,0.001,tanh,0.01494183111935854
50,16,1e-05,linear,0.3789694905281067
50,16,1e-05,relu,0.2479955554008484
50,16,1e-05,tanh,0.17514272034168243
50,16,0.0001,linear,0.11058526486158371
50,16,0.0001,relu,0.07460711896419525
50,16,0.0001,tanh,0.06901993602514267
50,16,0.001,linear,0.015076697804033756
50,16,0.001,relu,0.023091183975338936
50,16,0.001,tanh,0.01992703601717949
50,32,1e-05,linear,0.14331255853176117
50,32,1e-05,relu,0.15622976422309875
50,32,1e-05,tanh,0.16315332055091858
50,32,0.0001,linear,0.5885988473892212
50,32,0.0001,relu,0.18256813287734985
50,32,0.0001,tanh,0.11592738330364227
50,32,0.001,linear,0.025068091228604317
50,32,0.001,relu,0.03503890335559845
50,32,0.001,tanh,0.022399241104722023
50,64,1e-05,linear,0.4267691373825073
50,64,1e-05,relu,0.5418745279312134
50,64,1e-05,tanh,0.15983258187770844
50,64,0.0001,linear,0.33683741092681885
50,64,0.0001,relu,0.3055834174156189
50,64,0.0001,tanh,0.09872704744338989
50,64,0.001,linear,0.05956206098198891
50,64,0.001,relu,0.10019998997449875
50,64,0.001,tanh,0.042021021246910095
50,128,1e-05,linear,0.3823200762271881
50,128,1e-05,relu,0.27049267292022705
50,128,1e-05,tanh,0.17760731279850006
50,128,0.0001,linear,0.21173842251300812
50,128,0.0001,relu,0.09571487456560135
50,128,0.0001,tanh,0.20303139090538025
50,128,0.001,linear,0.19640415906906128
50,128,0.001,relu,0.1124330386519432
50,128,0.001,tanh,0.09619677066802979
50,256,1e-05,linear,0.3857124447822571
50,256,1e-05,relu,0.16735033690929413
50,256,1e-05,tanh,0.17526207864284515
50,256,0.0001,linear,0.5520957708358765
50,256,0.0001,relu,0.1776735782623291
50,256,0.0001,tanh,0.27075380086898804
50,256,0.001,linear,0.16084088385105133
50,256,0.001,relu,0.13639497756958008
